listing_id,room_type,city,bed,rules
45,Private room,Taipei,4,No smoking. No pet. No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also please refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am.
46,Private room,Tokyo,3,"We limit number of guests not staying, so please keep it to a maximum of 2 additional visitors within normal social hours (noon-11pm). We are respectful of others, and expect the same from our guests. Have fun and come and go as you please. We promise to "
47,Entire home/apt,Taipei,3,"We regret we cannot accommodate pets.  Strictly no smoking anywhere on the property. Not inside. Not in the yard. Not on the deck or driveway. Like many New England houses, our house is constructed entirely of wood. No smoking please. "
48,Entire home/apt,Tokyo,3,No smoking anywhere on the property. Quiet and no noise after 10 pm or before 6 am. No outdoor shoes to be worn in the house. Please respect our home as we would yours. No pets.
49,Private room,San Fran,4,Strictly NO smoking. No loud noises after 10pm.
50,Entire home/apt,Paris,3,"Check-in is at 3pm, and check-out is by 11am. Arriving slightly earlier, or want that extra hour to sleep? Should be fine, but please check with us first. We understand that accidents happen. But we do ask that you please let us know when they do. Chances"
51,Entire home/apt,Taipei,4,No smoking or pets. Don't forget to recycle.
52,Private room,New York,2,No smoking.
53,Private room,San Fran,3,Quietly please.  I am on the top floor and have people living in the condo below me.  Thanks!!
54,Entire home/apt,Tokyo,3,I expect them to come and go quietly and to let me know their schedule as soon as they know it. During the week people need to check in before 8AM or after 6PM
55,Entire home/apt,Taipei,2,Thank you for your interest- we look forward to hosting you!  We are looking for friendly
56,Entire home/apt,Tokyo,3,No smoking indoors
57,Entire home/apt,Tokyo,2,The usual courtesies apply: - No smoking - No overnight guests unless part of the reservation - Be reasonably quiet after 10 at night
58,Entire home/apt,New York,4,"Shoes off please Cat can go in or out as he desires, don't worry if you let him out No smoking No drugs or excessive alcohol No pets Please do not light candles We will provide a small basket for your toiletries to bring to and from the bathroom. Please d"
59,Private room,San Fran,1,no smoking quiet
60,Private room,Roma,4,"I'm a semi kosher vegetarian which means that I don't bring any pork or shelled fish into the house.  Chicken/Red meat is fine. Please confirm in your message that you're ok with this ""house rule."""
61,Private room,Taipei,1,No Street Shoes allowed in House. No cooking Keep rooms Neat and Clean
62,Entire home/apt,New York,4,No smoking.  One's home is their sanctuary. Please treat mine with care. I've worked hard for it and try to make it as pleasant as possible for guests to stay.  :)
63,Private room,Tokyo,4,You may come and go as you please.  No smoking is allowed in the house.
64,Entire home/apt,New York,2,No smoking. We kindly ask for taxis or other rides to call and not use a horn as this is a quiet neighborhood.
65,Entire home/apt,Taipei,2,Sorry
66,Entire home/apt,Paris,2,Rules are to respect everyone in the home and keep the place clean as is found.
67,Private room,Tokyo,4,I just ask that you clean after yourself if you use the kitchen.
68,Private room,Tokyo,4,Dryer and Washing Machine are in Basement (1.00 each) Please pick up after yourself :)
69,Entire home/apt,Taipei,1,To enjoy
70,Private room,San Fran,4,We ask that guests be respectful as there are others living in the home. NO smoking or pets please.
71,Entire home/apt,San Fran,4,House rules are just common sense; especially take care not to be too noisy for the neighbors. Also no smoking inside. Also I'm quite attached to the Rietveld chair
72,Private room,San Fran,2,No smoking in the building no partying in building 
73,Entire home/apt,Paris,4,No pets.  Sorry
74,Entire home/apt,New York,2,Terms of the Agreement:  1. The Landlord has the right to inspect the premises without prior notice at any time to enforce the terms of this agreement. Guest shall allow Landlord may have access to the premises for purposes of repairs and inspection. Shou
75,Private room,San Fran,3,Smoke-free house.
76,Private room,Roma,4,You can smoke on the back porch.  Smallish
77,Private room,Paris,3,Not many rules except there is no smoking
78,Entire home/apt,Tokyo,1,Please keep common areas clean and do your dishes as you use them. Please respect quiet hours from 11pm to 8am.  I appreciate your respect for my belongings and keeping books
79,Private room,Paris,1,No smoking
80,Private room,Taipei,4,- Thanks for not smoking and leaving your pets at home! Thanks for keeping the house locked. Thanks for not throwing big parties
81,Private room,Taipei,4,This is a pretty quiet house in a residential neighborhood
82,Private room,New York,2,No smoking
83,Private room,Taipei,2,We ask that guest DO NOT host any additional guest. NO partying or loud music.  Please DO NOT interact with other tenants on property.  There is ABSOLUTELY NO smoking allowed on the property. NO pets allowed. 
84,Entire home/apt,Paris,2,You will be very comfortable in our home but we ask that guests are respectful of the artwork that we have as we want to keep the place a fun place to hang out!  Please no smoking.
85,Entire home/apt,Paris,1,No smoking in the apartment
86,Entire home/apt,Taipei,4,Guests are expected to be respectful
87,Private room,New York,4,No smoking or drugs anywhere on property; no pets; no unauthorized guests. We expect guests to be respectful of our property and the neighborhood. Please remove shoes in downstairs entryway. Please confine eating to the kitchen area. Upon check out
88,Entire home/apt,Taipei,2,I'm looking only for mature guests who would treat my home as you would your own. No smoking and no parties. This is a friendly and quiet neighborhood and the ideal guest will be the same. CHECK-OUT You don't need to clean the house
89,Entire home/apt,Tokyo,4,No pets No Smoking indoors Please be respectful of my neighbors both inside and outside my home. This means limiting noise after hours
90,Private room,Taipei,2,This is our family home
91,Private room,San Fran,1,Please pick up after yourself if you use the kitchen or other common areas
92,Private room,New York,4,- There is no dedicated parking spot for this apartment. Use the abundant street parking. - This is a quiet residential neighborhood. No late loud partying allowed. - It's the first (bottom) floor
93,Private room,Taipei,2,My cat is outdoor/indoor so he comes and goes. We are pretty quiet except the occasional radio news in the late morning.
94,Entire home/apt,Roma,4,We plan to treat you politely
95,Private room,Paris,2,Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking and NO parties  This is a really relaxing space and the neighbors are all really cool.  -Pets are allowed -Please clean after yourself and
96,Entire home/apt,San Fran,4,This room is the perfect fit for you if you're looking for a cheap and quick few night stay! The house is laid back - smoking is allowed on the back porch
97,Entire home/apt,Tokyo,2,- NO parties or events. -NO smoking inside. You are welcome to smoke outside. -We ask guests to maintain a low noise level after 10pm and be respectful of noise levels during the day. You are welcome to have a few friends over for dinner but no loud music
98,Entire home/apt,San Fran,1,Dear Guests
99,Entire home/apt,Tokyo,3,No shoes and no smoking inside please. No smoking on the porches or around the house. The neighbors below us have a young child with severe asthma. 
100,Private room,New York,3,No smoking. And preferably no cats. dogs welcome.
